registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
922523244007,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,5.00,6.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.10
922523244007,Computer Science and Business Systems,4,Pavithra,Database Management Systems,5.00,4.00,3.00,2.00,1.00,5.00,4.00,3.00,2.00,1.00,3.00
922523244007,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,6.00,6.00,6.00,6.00,5.00,6.00,6.00,6.00,5.00,6.00,5.80
922523244007,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244007,Computer Science and Business Systems,4,Manonmani,Machine Learning,4.00,5.00,5.00,5.00,5.00,6.00,6.00,5.00,6.00,5.00,5.20
922523244007,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,7.00,7.00,8.00,6.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00
922523244007,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,1.00,1.00,3.00,2.00,2.00,3.00,1.00,2.00,3.00,1.00,1.90
922523244007,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,4.00,5.00,5.00,6.00,5.00,4.00,4.00,6.00,5.00,5.00,4.90
922523244007,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,8.00,7.00,5.00,6.00,5.00,3.00,6.00,5.00,7.00,4.00,5.60
922523244007,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,4.00,6.00,7.00,6.00,4.00,4.00,7.00,7.00,7.00,8.00,6.00
922523244036,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244036,Computer Science and Business Systems,4,Pavithra,Database Management Systems,9.00,8.00,10.00,8.00,8.00,9.00,10.00,10.00,8.00,8.00,8.80
922523244036,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244036,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244036,Computer Science and Business Systems,4,Manonmani,Machine Learning,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244036,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,7.00,8.00,9.00,6.00,5.00,8.00,8.00,9.00,10.00,10.00,8.00
922523244036,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,9.90
922523244036,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244036,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,8.00,9.00,7.00,6.00,6.00,3.00,7.00,8.00,10.00,9.00,7.30
922523244036,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244038,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Pavithra,Database Management Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Manonmani,Machine Learning,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244038,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244022,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,6.00,6.00,6.00,6.00,6.00,7.00,7.00,7.00,7.00,7.00,6.50
922523244022,Computer Science and Business Systems,4,Pavithra,Database Management Systems,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
